id;X_deg;Y_deg;Pop2040;Households;Tier;TotalEnergyPerCell;FinalElecCode2040;MinimumOverallLCOE2040;Least_Cost_Option
16664;3.4956;11.6285;51.3382;8.8000;4;8244.9218;3.0000;0.4084;Solar Home System (SHS)
5098;2.1698;7.3771;126.0121;21.6000;4;20237.5353;3.0000;0.4847;Solar Home System (SHS)
781;1.9326;6.5241;231.0221;39.6000;4;37102.1480;3.0000;0.4898;Solar Home System (SHS)
13578;1.5587;10.5631;1513.3114;259.4000;4;243037.8077;5.0000;0.2302;Mini-grid
1644;1.9441;6.6242;327.8647;56.2000;4;52655.0686;5.0000;0.2782;Mini-grid
11095;2.9268;10.1728;47.8379;8.2000;4;7682.7680;3.0000;0.4254;Solar Home System (SHS)
9122;1.3944;9.7968;123.6785;21.2000;4;19862.7661;3.0000;0.4278;Solar Home System (SHS)
3331;2.5938;6.7338;117.8446;20.2000;4;18925.8432;1.0000;0.1000;Grid Extension
11298;1.0264;10.2918;84.0080;14.4000;4;13491.6902;3.0000;0.4273;Solar Home System (SHS)
11071;2.8329;10.1755;68.8399;11.8000;4;11055.6906;3.0000;0.4235;Solar Home System (SHS)
1111;2.5844;6.6771;63.0060;10.8000;4;10118.7676;3.0000;0.4972;Solar Home System (SHS)
7190;2.6941;8.9778;74.6738;12.8000;4;11992.6135;3.0000;0.4603;Solar Home System (SHS)
9347;1.4537;9.8550;42.0040;7.2000;4;6745.8451;3.0000;0.4267;Solar Home System (SHS)
16667;2.5667;11.6265;99.1762;17.0000;4;15927.6898;3.0000;0.4076;Solar Home System (SHS)
9616;3.5360;9.9255;39.6705;6.8000;4;6371.0759;3.0000;0.4280;Solar Home System (SHS)
16726;2.4157;11.5175;24.5023;4.2000;4;3935.0763;3.0000;0.4080;Solar Home System (SHS)
11969;3.3071;10.3938;312.6966;53.6000;4;50219.0690;3.0000;0.4206;Solar Home System (SHS)
14003;2.7808;10.8584;36.1701;6.2000;4;5808.9222;3.0000;0.4128;Solar Home System (SHS)
13780;2.7566;10.7426;57.1721;9.8000;4;9181.8447;3.0000;0.4144;Solar Home System (SHS)
1667;1.9463;6.6295;78.1741;13.4000;4;12554.7672;3.0000;0.4952;Solar Home System (SHS)
13479;1.0383;10.6537;95.6758;16.4000;4;15365.5360;3.0000;0.4201;Solar Home System (SHS)
7646;2.5742;9.2430;60.6725;10.4000;4;9743.9985;3.0000;0.4483;Solar Home System (SHS)
17103;3.4186;9.9352;45.5044;7.8000;4;7307.9988;3.0000;0.4265;Solar Home System (SHS)
8221;2.8901;9.4401;285.8607;49.0000;4;45909.2235;3.0000;0.4476;Solar Home System (SHS)
15697;2.4937;11.2221;36.1701;6.2000;4;5808.9222;3.0000;0.4104;Solar Home System (SHS)
12821;0.8574;10.4829;156.3483;26.8000;4;25109.5345;3.0000;0.4246;Solar Home System (SHS)
1532;1.7561;6.5995;68.8399;11.8000;4;11055.6906;3.0000;0.4932;Solar Home System (SHS)
8787;2.9925;9.5718;141.1802;24.2000;4;22673.5349;3.0000;0.4420;Solar Home System (SHS)
16683;3.4567;11.6378;438.7086;75.2000;4;70456.6042;5.0000;0.2753;Mini-grid
11924;1.7962;10.3816;42.0040;7.2000;4;6745.8451;3.0000;0.4189;Solar Home System (SHS)
5802;2.6969;7.6975;78.1741;13.4000;4;12554.7672;3.0000;0.4898;Solar Home System (SHS)
12421;1.0971;10.3074;72.3403;12.4000;4;11617.8443;3.0000;0.4276;Solar Home System (SHS)
7663;1.4754;9.2543;66.5064;11.4000;4;10680.9214;3.0000;0.4341;Solar Home System (SHS)
1097;2.0373;6.6759;63.0060;10.8000;4;10118.7676;1.0000;0.0100;Grid Extension
4035;1.7292;7.0294;495.8808;85.0000;4;79638.4489;5.0000;0.2689;Mini-grid
11515;2.0092;10.2435;93.3423;16.0000;4;14990.7669;3.0000;0.4197;Solar Home System (SHS)
15005;2.3813;11.1173;72.3403;12.4000;4;11617.8443;3.0000;0.4124;Solar Home System (SHS)
1758;2.0215;6.6509;387.3704;66.4000;4;62211.6825;5.0000;0.3146;Mini-grid
8594;3.0212;9.5837;66.5064;11.4000;4;10680.9214;3.0000;0.4409;Solar Home System (SHS)
16636;2.4551;11.6207;51.3382;8.8000;4;8244.9218;3.0000;0.4070;Solar Home System (SHS)
8649;1.6182;9.6093;63.0060;10.8000;4;10118.7676;3.0000;0.4267;Solar Home System (SHS)
8932;1.7975;9.7238;114.3443;19.6000;4;18363.6894;3.0000;0.4269;Solar Home System (SHS)
10599;1.3908;10.1077;53.6718;9.2000;4;8619.6909;3.0000;0.4258;Solar Home System (SHS)
4731;2.1676;7.3185;322.0308;55.2000;4;51718.1457;5.0000;0.2618;Mini-grid
4835;2.4016;7.2083;358.2009;61.4000;4;57527.0678;1.0000;0.1000;Grid Extension
347;2.0937;6.4458;201.8526;34.6000;4;32417.5333;3.0000;0.4850;Solar Home System (SHS)
6792;2.4118;8.3522;535.5512;91.8000;4;86009.5248;5.0000;0.2519;Mini-grid
16735;2.4372;11.6507;60.6725;10.4000;4;9743.9985;3.0000;0.4076;Solar Home System (SHS)
2898;1.7681;6.8213;89.8419;15.4000;4;14428.6131;1.0000;0.0100;Grid Extension
13829;3.5363;10.7934;1160.9444;199.0000;4;186447.6628;5.0000;0.3613;Mini-grid
11943;1.4891;10.3832;57.1721;9.8000;4;9181.8447;3.0000;0.4197;Solar Home System (SHS)
6122;1.9861;7.0950;634.7274;108.8000;4;101937.2146;5.0000;0.2738;Mini-grid
342;1.8031;6.4460;87.5084;15.0000;4;14053.8439;3.0000;0.4884;Solar Home System (SHS)
9588;1.3613;9.9216;198.3523;34.0000;4;31855.3796;3.0000;0.4265;Solar Home System (SHS)
3293;2.0180;6.7292;95.6758;16.4000;4;15365.5360;3.0000;0.4952;Solar Home System (SHS)
13107;1.1432;10.5019;89.8419;15.4000;4;14428.6131;3.0000;0.4252;Solar Home System (SHS)
14536;2.9311;10.9981;36.1701;6.2000;4;5808.9222;3.0000;0.4134;Solar Home System (SHS)
5081;1.7742;7.3704;156.3483;26.8000;4;25109.5345;3.0000;0.4739;Solar Home System (SHS)
8570;1.3618;9.5945;57.1721;9.8000;4;9181.8447;3.0000;0.4280;Solar Home System (SHS)
4776;2.2800;7.2665;60.6725;10.4000;4;9743.9985;3.0000;0.4844;Solar Home System (SHS)
4049;2.6031;7.0303;81.6745;14.0000;4;13116.9210;3.0000;0.4966;Solar Home System (SHS)
9939;1.9132;6.9175;369.8687;63.4000;4;59400.9137;5.0000;0.2650;Mini-grid
4774;1.7911;7.2660;81.6745;14.0000;4;13116.9210;3.0000;0.4779;Solar Home System (SHS)
3454;2.6933;6.9356;78.1741;13.4000;4;12554.7672;3.0000;0.4987;Solar Home System (SHS)
483;1.9710;6.4055;57.1721;9.8000;4;9181.8447;3.0000;0.4747;Solar Home System (SHS)
10327;2.6966;10.0045;87.5084;15.0000;4;14053.8439;3.0000;0.4286;Solar Home System (SHS)
12552;3.3590;10.3124;117.8446;20.2000;4;18925.8432;3.0000;0.4212;Solar Home System (SHS)
8981;1.6434;9.6885;214.6872;36.8000;4;34478.7638;1.0000;0.1000;Grid Extension
3946;2.7018;7.0728;42.0040;7.2000;4;6745.8451;3.0000;0.4993;Solar Home System (SHS)
3966;2.7509;7.0400;108.5104;18.6000;4;17426.7665;3.0000;0.5022;Solar Home System (SHS)
12502;2.3856;10.3206;39.6705;6.8000;4;6371.0759;3.0000;0.4189;Solar Home System (SHS)
7815;1.7558;9.2337;89.8419;15.4000;4;14428.6131;3.0000;0.4377;Solar Home System (SHS)
6315;2.1876;7.8528;123.6785;21.2000;4;19862.7661;1.0000;0.1000;Grid Extension
7807;2.6957;9.2293;53.6718;9.2000;4;8619.6909;3.0000;0.4507;Solar Home System (SHS)
10551;2.6458;10.0651;123.6785;21.2000;4;19862.7661;1.0000;0.1000;Grid Extension
3282;2.0492;6.7276;72.3403;12.4000;4;11617.8443;3.0000;0.4946;Solar Home System (SHS)
4678;2.3527;7.2991;63.0060;10.8000;4;10118.7676;3.0000;0.4847;Solar Home System (SHS)
8397;1.3779;9.5036;102.6765;17.6000;4;16489.8435;1.0000;0.0100;Grid Extension
11116;2.9052;10.1639;141.1802;24.2000;4;22673.5349;3.0000;0.4250;Solar Home System (SHS)
9998;2.7398;6.8941;129.5124;22.2000;4;20799.6890;3.0000;0.4990;Solar Home System (SHS)
5438;1.8792;7.5145;66.5064;11.4000;4;10680.9214;3.0000;0.4728;Solar Home System (SHS)
15684;2.9295;11.2179;327.8647;56.2000;4;52655.0686;3.0000;0.4114;Solar Home System (SHS)
9106;1.3636;9.7770;63.0060;10.8000;4;10118.7676;3.0000;0.4284;Solar Home System (SHS)
6309;2.1306;7.8614;505.2150;86.6000;4;81137.5256;5.0000;0.2944;Mini-grid
13816;2.9750;10.7856;78.1741;13.4000;4;12554.7672;3.0000;0.4148;Solar Home System (SHS)
5640;2.1658;7.6120;60.6725;10.4000;4;9743.9985;3.0000;0.4768;Solar Home System (SHS)
7191;1.6941;8.9836;53.6718;9.2000;4;8619.6909;3.0000;0.4420;Solar Home System (SHS)
3743;1.9466;6.9758;514.5492;88.2000;4;82636.6023;5.0000;0.2938;Mini-grid
17090;2.4594;10.4589;51.3382;8.8000;4;8244.9218;3.0000;0.4170;Solar Home System (SHS)
13085;2.7317;10.4968;152.8479;26.2000;4;24547.3807;1.0000;0.0100;Grid Extension
5824;1.8580;7.6646;99.1762;17.0000;4;15927.6898;3.0000;0.4684;Solar Home System (SHS)
14685;2.0640;11.0327;68.8399;11.8000;4;11055.6906;3.0000;0.4134;Solar Home System (SHS)
16751;3.5783;11.6643;217.0208;37.2000;4;34853.5329;3.0000;0.4086;Solar Home System (SHS)
5039;2.1774;7.2618;243.8567;41.8000;4;39163.3784;3.0000;0.4806;Solar Home System (SHS)
5756;2.1105;7.6574;141.1802;24.2000;4;22673.5349;3.0000;0.4766;Solar Home System (SHS)
4856;2.3278;7.2004;129.5124;22.2000;4;20799.6890;3.0000;0.4856;Solar Home System (SHS)
2828;2.6243;6.8158;74.6738;12.8000;4;11992.6135;3.0000;0.5002;Solar Home System (SHS)
11734;1.0009;10.3438;47.8379;8.2000;4;7682.7680;3.0000;0.4276;Solar Home System (SHS)
1454;1.8866;6.5823;74.6738;12.8000;4;11992.6135;3.0000;0.4935;Solar Home System (SHS)
1200;2.1849;6.5648;93.3423;16.0000;4;14990.7669;3.0000;0.4975;Solar Home System (SHS)
15755;2.6509;11.3204;42.0040;7.2000;4;6745.8451;3.0000;0.4104;Solar Home System (SHS)
7233;2.5155;9.0301;72.3403;12.4000;4;11617.8443;3.0000;0.4563;Solar Home System (SHS)
4159;1.7612;6.9994;679.0649;116.4000;4;109057.8289;1.0000;0.0100;Grid Extension
9057;1.5412;9.7375;192.5184;33.0000;4;30918.4566;3.0000;0.4252;Solar Home System (SHS)
9981;1.6759;6.8890;84.0080;14.4000;4;13491.6902;1.0000;0.0100;Grid Extension
2125;2.1300;6.7638;547.2190;93.8000;4;87883.3707;5.0000;0.2971;Mini-grid
9809;2.6355;9.6639;78.1741;13.4000;4;12554.7672;3.0000;0.4373;Solar Home System (SHS)
8326;2.9449;9.4205;81.6745;14.0000;4;13116.9210;1.0000;0.0100;Grid Extension
14478;3.4039;10.9727;159.8486;27.4000;4;25671.6882;3.0000;0.4132;Solar Home System (SHS)
12973;1.2211;10.5593;390.8707;67.0000;4;62773.8362;3.0000;0.4227;Solar Home System (SHS)
11696;1.4141;10.3602;81.6745;14.0000;4;13116.9210;3.0000;0.4229;Solar Home System (SHS)
3047;1.9497;6.7157;84.0080;14.4000;4;13491.6902;3.0000;0.4969;Solar Home System (SHS)
14034;2.1865;10.8873;32.6698;5.6000;4;5246.7684;3.0000;0.4134;Solar Home System (SHS)
13335;1.2785;10.6741;129.5124;22.2000;4;20799.6890;3.0000;0.4216;Solar Home System (SHS)
13407;3.5439;10.6663;89.8419;15.4000;4;14428.6131;3.0000;0.4187;Solar Home System (SHS)
10317;3.1229;10.0029;135.3463;23.2000;4;21736.6119;3.0000;0.4269;Solar Home System (SHS)
13761;0.8570;10.7412;105.0100;18.0000;4;16864.6127;3.0000;0.4208;Solar Home System (SHS)
13147;0.8794;10.5828;980.0937;168.0000;4;157403.0520;5.0000;0.2893;Mini-grid
1029;2.3560;6.6659;213.5204;36.6000;4;34291.3792;1.0000;0.1000;Grid Extension
2945;2.5575;6.8271;162.1822;27.8000;4;26046.4574;3.0000;0.4993;Solar Home System (SHS)
6342;2.4750;7.8352;131.8459;22.6000;4;21174.4582;3.0000;0.4817;Solar Home System (SHS)
9430;1.8454;9.8716;110.8439;19.0000;4;17801.5356;3.0000;0.4254;Solar Home System (SHS)
2797;1.9271;6.8116;123.6785;21.2000;4;19862.7661;3.0000;0.4909;Solar Home System (SHS)
16791;3.1705;11.7204;173.8500;29.8000;4;27920.3033;3.0000;0.4059;Solar Home System (SHS)
3025;1.8211;6.8361;322.0308;55.2000;4;51718.1457;5.0000;0.2637;Mini-grid
8989;1.6784;9.6747;152.8479;26.2000;4;24547.3807;1.0000;0.1000;Grid Extension
6020;1.8974;7.3573;42.0040;7.2000;4;6745.8451;3.0000;0.4758;Solar Home System (SHS)
7913;2.6647;9.3631;417.7066;71.6000;4;67083.6817;1.0000;0.0100;Grid Extension
11507;1.2362;10.2419;89.8419;15.4000;4;14428.6131;3.0000;0.4220;Solar Home System (SHS)
5135;2.4496;7.3862;47.8379;8.2000;4;7682.7680;3.0000;0.4889;Solar Home System (SHS)
13489;1.0437;10.6559;84.0080;14.4000;4;13491.6902;3.0000;0.4199;Solar Home System (SHS)
1072;2.0521;6.6715;57.1721;9.8000;4;9181.8447;1.0000;0.0100;Grid Extension
7384;2.8231;9.0953;66.5064;11.4000;4;10680.9214;3.0000;0.4578;Solar Home System (SHS)
11614;1.0371;10.2133;135.3463;23.2000;4;21736.6119;3.0000;0.4293;Solar Home System (SHS)
11679;1.1079;10.3588;60.6725;10.4000;4;9743.9985;3.0000;0.4267;Solar Home System (SHS)
15941;2.5156;11.3750;63.0060;10.8000;4;10118.7676;3.0000;0.4088;Solar Home System (SHS)
1722;1.9531;6.6445;282.3603;48.4000;4;45347.0697;5.0000;0.2738;Mini-grid
4939;1.6652;7.2232;324.3644;55.6000;4;52092.9148;1.0000;0.1000;Grid Extension
14224;2.6830;10.8549;117.8446;20.2000;4;18925.8432;3.0000;0.4146;Solar Home System (SHS)
5398;2.2952;7.4721;47.8379;8.2000;4;7682.7680;3.0000;0.4812;Solar Home System (SHS)
4837;2.6185;7.2106;126.0121;21.6000;4;20237.5353;3.0000;0.4952;Solar Home System (SHS)
2351;2.5908;6.8700;63.0060;10.8000;4;10118.7676;3.0000;0.4999;Solar Home System (SHS)
2556;2.5522;6.8397;352.3670;60.4000;4;56590.1449;5.0000;0.2825;Mini-grid
8713;1.3750;9.6415;60.6725;10.4000;4;9743.9985;3.0000;0.4278;Solar Home System (SHS)
15717;2.6489;11.2901;36.1701;6.2000;4;5808.9222;3.0000;0.4108;Solar Home System (SHS)
3483;1.5845;6.9825;78.1741;13.4000;4;12554.7672;3.0000;0.4784;Solar Home System (SHS)
1471;1.8359;6.5890;270.6926;46.4000;4;43473.2239;1.0000;0.1000;Grid Extension
1405;1.8478;6.5748;159.8486;27.4000;4;25671.6882;3.0000;0.4938;Solar Home System (SHS)
3613;1.6417;6.9568;171.5164;29.4000;4;27545.5341;3.0000;0.4792;Solar Home System (SHS)
2286;1.9006;6.7679;68.8399;11.8000;4;11055.6906;1.0000;0.0100;Grid Extension
16658;2.6238;11.6152;47.8379;8.2000;4;7682.7680;3.0000;0.4088;Solar Home System (SHS)
11705;1.7921;10.3583;219.3543;37.6000;4;35228.3021;3.0000;0.4191;Solar Home System (SHS)
16956;2.9821;12.2791;72.3403;12.4000;4;11617.8443;3.0000;0.5546;Solar Home System (SHS)
1082;1.8356;6.6733;74.6738;12.8000;4;11992.6135;3.0000;0.4938;Solar Home System (SHS)
11186;3.4915;10.2238;303.3623;52.0000;4;48719.9923;3.0000;0.4237;Solar Home System (SHS)
9182;1.6201;9.7627;74.6738;12.8000;4;11992.6135;3.0000;0.4250;Solar Home System (SHS)
1719;2.1803;6.6437;60.6725;10.4000;4;9743.9985;1.0000;0.0100;Grid Extension
11552;1.0673;10.2574;32.6698;5.6000;4;5246.7684;3.0000;0.4284;Solar Home System (SHS)
12978;1.7429;10.5601;42.0040;7.2000;4;6745.8451;3.0000;0.4170;Solar Home System (SHS)
15620;2.3588;11.2723;63.0060;10.8000;4;10118.7676;3.0000;0.4090;Solar Home System (SHS)
3325;1.6785;6.7342;93.3423;16.0000;4;14990.7669;3.0000;0.4856;Solar Home System (SHS)
16275;2.5248;11.4564;45.5044;7.8000;4;7307.9988;3.0000;0.4076;Solar Home System (SHS)
16755;3.5759;11.6716;565.8874;97.0000;4;90881.5241;5.0000;0.2587;Mini-grid
5244;1.8942;7.4279;204.1862;35.0000;4;32792.3025;3.0000;0.4742;Solar Home System (SHS)
14681;2.9042;11.0357;84.0080;14.4000;4;13491.6902;1.0000;0.0100;Grid Extension
15785;2.3021;11.3104;739.7374;126.8000;4;118801.8273;5.0000;0.2656;Mini-grid
8169;1.5095;9.4594;108.5104;18.6000;4;17426.7665;3.0000;0.4295;Solar Home System (SHS)
2366;1.6885;6.8562;115.5110;19.8000;4;18551.0740;1.0000;0.0100;Grid Extension
2654;2.6563;6.8496;108.5104;18.6000;4;17426.7665;3.0000;0.5010;Solar Home System (SHS)
8294;1.4305;9.4035;204.1862;35.0000;4;32792.3025;3.0000;0.4319;Solar Home System (SHS)
13937;1.0173;10.8382;187.8513;32.2000;4;30168.9183;3.0000;0.4168;Solar Home System (SHS)
2170;1.8777;6.7530;231.0221;39.6000;4;37102.1480;1.0000;0.0100;Grid Extension
2085;2.0457;6.7598;72.3403;12.4000;4;11617.8443;3.0000;0.4940;Solar Home System (SHS)
12532;1.2980;10.3094;66.5064;11.4000;4;10680.9214;3.0000;0.4218;Solar Home System (SHS)
1960;2.6783;6.7813;117.8446;20.2000;4;18925.8432;3.0000;0.5025;Solar Home System (SHS)
7481;3.0360;9.1580;63.0060;10.8000;4;10118.7676;3.0000;0.4541;Solar Home System (SHS)
7985;2.4943;9.3106;173.8500;29.8000;4;27920.3033;1.0000;0.1000;Grid Extension
7150;1.6704;8.8801;135.3463;23.2000;4;21736.6119;3.0000;0.4455;Solar Home System (SHS)
1767;2.3577;6.6505;2926.2798;501.6000;4;469960.5409;1.0000;0.1000;Grid Extension
2015;2.0034;6.7857;303.3623;52.0000;4;48719.9923;5.0000;0.2560;Mini-grid
9834;2.4819;9.2882;51.3382;8.8000;4;8244.9218;3.0000;0.4476;Solar Home System (SHS)
13750;0.9983;10.7352;189.0181;32.4000;4;30356.3029;3.0000;0.4197;Solar Home System (SHS)
16623;2.5190;11.5802;84.0080;14.4000;4;13491.6902;3.0000;0.4076;Solar Home System (SHS)
2992;2.5616;6.8321;87.5084;15.0000;4;14053.8439;3.0000;0.4996;Solar Home System (SHS)
15413;2.8955;11.1909;63.0060;10.8000;4;10118.7676;3.0000;0.4114;Solar Home System (SHS)
3250;2.3869;6.7254;72.3403;12.4000;4;11617.8443;3.0000;0.5010;Solar Home System (SHS)
16789;3.2278;11.7143;60.6725;10.4000;4;9743.9985;1.0000;0.0100;Grid Extension
4104;1.8373;6.9935;1166.7782;200.0000;4;187384.5857;5.0000;0.3952;Mini-grid
10097;1.6568;6.9234;1254.2866;215.0000;4;201438.4296;1.0000;0.0100;Grid Extension
11448;3.5352;10.2455;147.0141;25.2000;4;23610.4578;3.0000;0.4233;Solar Home System (SHS)
7234;2.5955;9.0307;78.1741;13.4000;4;12554.7672;3.0000;0.4563;Solar Home System (SHS)
7588;2.6254;9.2050;68.8399;11.8000;4;11055.6906;3.0000;0.4514;Solar Home System (SHS)
9954;1.6532;6.8927;81.6745;14.0000;4;13116.9210;1.0000;0.0100;Grid Extension
9613;3.2476;9.9222;89.8419;15.4000;4;14428.6131;3.0000;0.4273;Solar Home System (SHS)
11643;3.4912;10.2170;108.5104;18.6000;4;17426.7665;3.0000;0.4237;Solar Home System (SHS)
12775;2.5142;10.4808;60.6725;10.4000;4;9743.9985;3.0000;0.4185;Solar Home System (SHS)
3767;2.2968;6.9814;2411.7306;413.4000;4;387323.9387;5.0000;0.3164;Mini-grid
1941;2.4636;6.7776;66.5064;11.4000;4;10680.9214;3.0000;0.5016;Solar Home System (SHS)
12638;2.8549;10.1141;63.0060;10.8000;4;10118.7676;3.0000;0.4263;Solar Home System (SHS)
2523;1.8340;6.8820;842.4139;144.4000;4;135291.6709;5.0000;0.2733;Mini-grid
3322;2.2468;6.7328;171.5164;29.4000;4;27545.5341;3.0000;0.4972;Solar Home System (SHS)
11606;1.1104;10.2118;823.7454;141.2000;4;132293.5175;5.0000;0.3204;Mini-grid
16676;2.5637;11.6341;183.1842;31.4000;4;29419.3800;3.0000;0.4074;Solar Home System (SHS)
9492;3.3713;9.8993;51.3382;8.8000;4;8244.9218;3.0000;0.4273;Solar Home System (SHS)
4197;2.6631;7.0081;120.1782;20.6000;4;19300.6123;1.0000;0.1000;Grid Extension
12438;0.9684;10.3316;45.5044;7.8000;4;7307.9988;3.0000;0.4282;Solar Home System (SHS)
