id,Country,village_name,Y_deg,X_deg,Pop,elec_rate,demand_kwh,dist_to_grid,SubstationDist,RoadDist,GHI,GridCellArea,Elevation
16664,Benin,Malanville,11.628547,3.495627,44,0.38636363636363635,1346.4850000000001,21.53663493406322,28.762925300735084,0.0,2077,18138.327,223.0
5098,Benin,Location #7909,7.377139,2.169775,108,0.3888888888888889,3326.61,10.620720550493289,24.617666633466765,10.164386,1750,43119.484,132.0
781,Benin,Dahè,6.524083,1.932591,198,0.3888888888888889,6572.92,12.37850938285108,13.031814724176643,1.086374,1732,80027.02,64.0
13578,Benin,Kouarfa,10.563094,1.558684,1297,0.3199691595990748,34317.299999999996,28.22297111997216,40.77934618113372,7.986889,2025,147660.572,504.0
1644,Benin,Bopa,6.624211,1.944051,281,0.3879003558718861,9423.57,4.041404271378449,10.88328963592273,1.318121,1717,61567.058,45.0
11095,Benin,Location #15653,10.172764,2.926753,41,0.3902439024390244,1267.28,23.612890244057233,29.524432691735644,1.987448,1994,26791.366,337.0
9122,Benin,Tchalinga,9.796801,1.39436,106,0.3867924528301887,3405.45,10.553316601419809,28.128581812234955,0.0,1983,37254.977,371.0
3331,Benin,Illosso-Saharo,6.733789,2.593756,101,0.38613861386138615,3879.2200000000003,0.8481546324024657,6.090783028938182,2.146397,1700,23975.961,86.0
11298,Benin,Takotiéta,10.291834,1.026399,72,0.3888888888888889,2217.74,36.11175727960909,41.20824753803646,10.079564,1985,45141.321,183.0
11071,Benin,Location #12525,10.17555,2.83287,59,0.3898305084745763,1979.7600000000002,13.587029766301503,19.330923314512347,0.907785,2003,20341.411,361.0
1111,Benin,Location #13073,6.677054,2.584441,54,0.3888888888888889,1663.305,1.666125499798482,9.799771190964565,3.317763,1706,15533.33,74.0
7190,Benin,Tchaourou,8.977839,2.694065,64,0.390625,1980.125,14.077537146978585,15.363509731897388,10.018552,1843,41158.27,339.0
9347,Benin,Karhoum-Dora,9.854968,1.453742,36,0.3888888888888889,1108.87,9.586889550817654,26.49695341556001,7.867836,1988,9145.628,402.0
16667,Benin,Kandérou,11.62651,2.566677,85,0.38823529411764707,2613.765,39.171756038981414,40.13717075705243,3.563414,2081,30388.808,266.0
9616,Benin,Ouenou,9.925461,3.535981,34,0.38235294117647056,1029.665,66.56381415372441,36.17779682121662,21.643231,1982,15877.758,344.0
16726,Benin,Location #17094,11.517475,2.415731,21,0.38095238095238093,633.64,24.773518806392165,25.100779792768268,11.596747,2079,2798.779,309.0
11969,Benin,Kalalé,10.393772,3.307137,268,0.3880597014925373,8237.32,61.4648879964289,14.325248068069891,6.607697,2017,289452.472,341.0
14003,Benin,Location #16590,10.858445,2.780824,31,0.3870967741935484,950.46,7.724306975536295,6.280783259939216,6.186574,2055,12858.88,322.0
13780,Benin,Sori,10.742607,2.75663,49,0.3877551020408163,1504.895,5.459387735166515,11.371207385243629,3.528568,2047,34353.448,328.0
1667,Benin,Bopa,6.629545,1.946346,67,0.3880597014925373,2059.33,3.9683787563198947,10.608676576506987,2.009578,1713,14994.995,36.0
13479,Benin,Materi,10.653729,1.038275,82,0.3902439024390244,2534.56,17.615221230325073,61.511843704699466,16.283098,2019,30402.867,206.0
7646,Benin,Tchaourou,9.242981,2.574226,52,0.38461538461538464,2544.78,1.6334891794161597,9.892950178621142,0.103033,1892,21659.085,387.0
17103,Benin,KORA SEKO KPAROU,9.935181,3.418559,39,0.38461538461538464,1188.075,59.9810335285984,23.352426303126805,11.083641,1989,4186.09,395.0
8221,Benin,Location #4166,9.440075,2.890063,245,0.3877551020408163,7682.5199999999995,3.3026206150754627,34.41523347879982,9.832559,1895,161738.597,341.0
15697,Benin,Banikoara,11.2221,2.493705,31,0.3870967741935484,950.46,5.785868145636774,10.584732482363409,10.050703,2067,12727.803,288.0
