X_deg;Y_deg;Pop;GridCellArea;Country;ElecPop;WindVel;GHI;TravelHours;Elevation;ResidentialDemandTierCustom;Slope;NightLights;LandCover;SubstationDist;TransformerDist;CurrentHVLineDist;PlannedHVLineDist;CurrentMVLineDist;PlannedMVLineDist;RoadDist;HydropowerDist;Hydropower;HydropowerFID;IsUrban;PerCapitaDemand;HealthDemand;EducationDemand;AgriDemand;ElectrificationOrder;CommercialDemand;ResidentialDemandTier1;ResidentialDemandTier2;ResidentialDemandTier3;ResidentialDemandTier4;ResidentialDemandTier5;id;Households
3.4956;11.6285;44;0.0181;Benin;0.0000;0.0000;2077;0.5039;223.0000;38.7000;1.4700;0.0000;10;28.7629;9999;182.7441;21.5366;182.7441;21.5366;0.0000;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;16664;8.8000
2.1698;7.3771;108;0.0431;Benin;0.0000;0.0000;1750;0.4893;132.0000;38.7000;0.2080;0.0000;12;24.6177;9999;10.6207;25.8959;10.6207;25.8959;10.1644;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;5098;21.6000
1.9326;6.5241;198;0.0800;Benin;0.0000;0.0000;1732;0.0813;64.0000;219.0000;0.1957;0.0000;14;13.0318;9999;12.3785;12.4225;12.3785;12.4225;1.0864;9999;9999.0000;9999;0;43.8000;0;0;0;0;0;7.7400;43.8000;200;500;750;781;39.6000
1.5587;10.5631;1297;0.1477;Benin;0.0000;0.0000;2025;1.0294;504.0000;38.7000;2.0336;0.0000;10;40.7793;9999;40.7663;28.2230;40.7663;28.2230;7.9869;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;13578;259.4000
1.9441;6.6242;281;0.0616;Benin;0.0000;0.0000;1717;0.2102;45.0000;38.7000;0.7249;0.0000;12;10.8833;9999;4.0414;4.0916;4.0414;4.0916;1.3181;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;1644;56.2000
2.9268;10.1728;41;0.0268;Benin;0.0000;0.0000;1994;0.2748;337.0000;38.7000;0.6287;0.0000;12;29.5244;9999;29.3326;23.6129;29.3326;23.6129;1.9874;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;11095;8.2000
1.3944;9.7968;106;0.0373;Benin;0.0000;0.0000;1983;0.0518;371.0000;38.7000;0.4956;0.0000;12;28.1286;9999;10.5533;32.4887;10.5533;32.4887;0.0000;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;9122;21.2000
2.5938;6.7338;101;0.0240;Benin;0.0000;0.0000;1700;0.1476;86.0000;38.7000;0.1487;0.0000;14;6.0908;9999;0.8878;0.8482;0.8878;0.8482;2.1464;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;3331;20.2000
1.0264;10.2918;72;0.0451;Benin;0.0000;0.0000;1985;0.7174;183.0000;38.7000;1.0578;0.0000;12;41.2082;9999;41.1767;36.1118;41.1767;36.1118;10.0796;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;11298;14.4000
2.8329;10.1755;59;0.0203;Benin;0.0000;0.0000;2003;0.2717;361.0000;38.7000;0.5537;0.0000;12;19.3309;9999;19.0883;13.5870;19.0883;13.5870;0.9078;9999;9999.0000;9999;0;7.7400;0;0;0;0;0;7.7400;43.8000;200;500;750;11071;11.8000
